Flow ID,Vessel,Vessel IMO,Load Country,Load Port,Departure Date,Discharge Country,Discharge Port,Arrival Date,Product,Grade,Volume,Unit,Load Country/Sub-Country,Load Region,Load State,Load Berth,Load Zone,Load Date From,Discharge Country/Sub-Country,Discharge Region,Discharge State,Discharge Berth,Discharge Zone,Arrival Date To,Buyer/Receiver,Issuer,Sender,Awardee,Consignee,Charterer,Buy/Sell,Price,Price Basis,Vessel Ric,Freight,Benchmark,Closing Date,Validity Date,Contract Basis,Terms,Import/Export,Status,Source Grade,Country of Origin,Last Updated
2694657,EVRIDIKI,9318137,Iraq,Basrah,22.03.17,Greece,Agioi Theodoroi,10.04.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 3,Middle East,21.03.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",11.04.17,,,,,,AVIN OIL,,,,C}KS7309489236,w40,,,,,,,Vessel Discharged,,Iraq,11.04.17
2690243,BADR,9356426,Russian Federation,Novorossiysk,25.03.17,Greece,Agioi Theodoroi,02.04.17,Crude Oil,Urals,580305.35,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk-Sheskaris Oil Terminal- Berth 1A,"Russia, FSU",24.03.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",03.04.17,,,,,,URSA,,,,C}KA7309492479,,,,,,,,Vessel Discharged,,Russian Federation,03.04.17
2666726,HS ALCINA,9221970,Iraq,Basrah,12.03.17,Greece,Agioi Theodoroi,27.03.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,09.03.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",27.03.17,,,,,,AVIN OIL,,,,C}KS7309481665,w30,,,,,,,Vessel Discharged,,Iraq,29.03.17
2698017,KRITI SPIRIT,9207027,Egypt,Sidi Kerir,22.03.17,Greece,Agioi Theodoroi,25.03.17,Crude Oil,Crude Oil,580800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 6 (Sidi Kerir),"Mediterranean, North Africa",21.03.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",25.03.17,,,,,,HELLENIC PETROLEUM,,,,C}KS7309480577,w105,,,,,,,Vessel Discharged,,,29.03.17
2664689,FRONT OCELOT,9726580,Russian Federation,Ust-Luga,25.02.17,Greece,Agioi Theodoroi,19.03.17,Crude Oil,Urals,725381.69,BARRELS,Leningrad,"Europe, Middle East, Africa",Northwestern Federal District,Oil Products Terminal Berth 1,"Russia, FSU",23.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",20.03.17,,,,,,ENI,,,,C}KX7309779900,w102.5,,,,,,,Vessel Discharged,,Russian Federation,21.03.17
2652018,NICOLAOS,9429297,Russian Federation,Novorossiysk,17.02.17,Greece,Agioi Theodoroi,17.03.17,Crude Oil,CPC Blend,490725.00,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk - CPC-R Marine Terminal Berth 2,"Russia, FSU",16.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",17.03.17,,,,,,VITOL,,,,C}KS7309498776,"$2,950k",,,,,,,Vessel Discharged,,Kazakhstan,17.03.17
2660990,GENER8 SPARTIATE,9461776,Iraq,Basrah,21.02.17,Greece,Agioi Theodoroi,09.03.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 2,Middle East,21.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",09.03.17,,,,,,AVIN OIL,,,,C}KS7309501494,w60,,,,,,,Vessel Discharged,,Iraq,09.03.17
2683642,WHITE TRADER,9191711,Turkey,Ceyhan,23.02.17,Greece,Agioi Theodoroi,07.03.17,Crude Oil,Azeri BTC,483054.43,BARRELS,Turkey,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",22.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",08.03.17,,,,,,,,,,C}KS7309479502,,,,,,,,Vessel Discharged,,Azerbaijan,13.03.17
2660156,SN OLIVIA,9437983,Turkey,Ceyhan,20.02.17,Greece,Agioi Theodoroi,05.03.17,Crude Oil,Kirkuk,589194.84,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal North Jetty 3,"Mediterranean, North Africa",19.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",06.03.17,,,,,,,,,,C}KA7309499514,,,,,,,,Vessel Discharged,,Iraq,06.03.17
2660811,SIFNOS,9191711,Turkey,Ceyhan,23.02.17,Greece,Agioi Theodoroi,02.03.17,Crude Oil,Azeri BTC,483054.43,BARRELS,Turkey,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",22.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",02.03.17,,,,,,,,,,C}KS7309479502,,,,,,,,Vessel Discharged,,Azerbaijan,09.03.17
2626804,KAMARI,9123075,Iraq,Basrah,08.02.17,Greece,Agioi Theodoroi,27.02.17,Crude Oil,Basrah Light,931439.87,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,06.02.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",27.02.17,,,,,,AVIN OIL,,,,C}KS7309474293,,,,,,,,Vessel Discharged,,Iraq,28.02.17
2642726,NORDIC MISTRAL,9233210,Iraq,Basrah,02.02.17,Greece,Agioi Theodoroi,17.02.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 1,Middle East,31.01.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",17.02.17,,,,,,BP,,,,C}KS7309482505,w57.5,,,,,,,Vessel Discharged,,Iraq,17.02.17
2646668,OTTOMAN INTEGRITY,9530618,Turkey,Ceyhan,04.02.17,Greece,Agioi Theodoroi,07.02.17,Crude Oil,Kirkuk,957441.61,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal (North),"Mediterranean, North Africa",03.02.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",07.02.17,,,,,,TRAFIGURA,,,,C}KS7309507222,,,,,,,,Vessel Discharged,,Iraq,10.02.17
2639039,KRITI ISLAND,9185528,Egypt,Sidi Kerir,30.01.17,Greece,Agioi Theodoroi,02.02.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",30.01.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",02.02.17,,,,,,,,,,C}KS7309479012,,,,,,,,Vessel Discharged,,,04.02.17
2634531,ALICANTE,9527855,Turkey,Ceyhan,26.01.17,Greece,Agioi Theodoroi,01.02.17,Crude Oil,Kirkuk,589194.84,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal (North),"Mediterranean, North Africa",26.01.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",01.02.17,,,,,,,,,,C}KA7309506977,,,,,,,,Vessel Discharged,,Iraq,02.02.17
2625390,ODESSA,9633458,Iraq,Basrah,12.01.17,Greece,Agioi Theodoroi,27.01.17,Crude Oil,Basrah Heavy,482876.64,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 1,Middle East,10.01.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",27.01.17,,,,,,AVIN OIL,,,,C}KS7309556654,,,,,,,,Vessel Discharged,,Iraq,01.02.17
78502457420,KRITI ISLAND,9185528,Iraq,Basrah,09.01.17,Greece,Agioi Theodoroi,24.01.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,07.01.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",26.01.17,,,,,,AVIN OIL,,,,C}KS7309479012,,,,,,,,Vessel Discharged,,Iraq,26.01.17
78502392746,SUEZ GEORGE,9513139,Iraq,Basrah,22.12.16,Greece,Agioi Theodoroi,13.01.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,19.12.16,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",15.01.17,,,,,,REPSOL,,,,C}KS7309505715,w52.5,,,,,,,Vessel Discharged,,Iraq,16.01.17
78502412366,FLEVES,9597006,Libya,Zueitina,04.12.16,Greece,Agioi Theodoroi,04.01.17,Crude Oil,Zueitina,998466.56,BARRELS,Libya,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",02.12.16,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",,,,,,,PETRACO,,,,C}KS7309524108,w135,,,,,,,Vessel Discharged,,Libya,03.01.17
78502386202,CAPE BARI,9293117,Iraq,Basrah,14.12.16,Greece,Agioi Theodoroi,03.01.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 1,Middle East,12.12.16,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",04.01.17,,,,,,AVIN OIL,,,,C}KS7309487093,w50,,,,,,,Vessel Discharged,,Iraq,05.01.17
